Name	UCSC_RefGene_Name	UCSC_RefGene_Group	Regulatory_Feature_Group	CHR_hg38	Start_hg38	End_hg38
cg23471095	UXS1;UXS1;UXS1;UXS1	Body;Body;Body;Body	Promoter_Associated_Cell_type_specific	chr2	106096154	106096156
cg16919019	CCM2;CCM2;CCM2;CCM2;CCM2	TSS1500;Body;Body;Body;Body	Promoter_Associated_Cell_type_specific	chr7	45027050	45027052
cg18668872	TRAF3IP1;TRAF3IP1	Body;Body		chr2	238346791	238346793
cg01927694	KCTD5	Body		chr16	2687643	2687645
cg06605044	LOC101928253	TSS200		chr6	12001410	12001412
cg00801765	TMEM104	Body		chr17	74779754	74779756
cg02319016	PAK2	5'UTR		chr3	196742905	196742907
cg19349476	TMTC4;TMTC4	Body;Body		chr13	100662999	100663001
cg02871985				chr2	43171014	43171016
cg17781418	FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1	5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr3	71256110	71256112
cg18982286	SHANK3	Body		chr22	50697896	50697898
cg24190730	RUNX2;RUNX2;RUNX2	Body;Body;Body		chr6	45446154	45446156
cg16161069	LOC100134368	Body		chr16	392769	392771
cg19932887	RBM17;RBM17	Body;Body		chr10	6103807	6103809
cg10901905	LRIG1	Body		chr3	66428951	66428953
cg21322003	PRKCE	Body		chr2	45985312	45985314
cg10914422	LOC254896	Body		chr8	23085216	23085218
cg07910010	FARSB;FARSB	Body;Body		chr2	222584011	222584013
cg10944033	C5orf33;C5orf33	5'UTR;Body		chr5	36231158	36231160
cg12121075	P2RX7	Body		chr12	121177397	121177399
cg14837810	ANKEF1;ANKEF1;ANKEF1;SNAP25-AS1	5'UTR;Body;Body;Body		chr20	10040368	10040370
cg13539545				chr14	60507104	60507106
cg26499796	PPP1R13B	Body		chr14	103797441	103797443
cg11641450	RPTOR;RPTOR	Body;Body	Unclassified_Cell_type_specific	chr17	80703253	80703255
cg22449032	AXIN1;AXIN1	Body;Body		chr16	314015	314017
cg16866268				chr2	136253825	136253827
cg01437161			Unclassified	chr12	8681517	8681519
cg14254562	TLE1	Body		chr9	81598155	81598157
cg15591880				chr17	78647201	78647203
cg09874335				chr10	84310590	84310592
cg08844422				chr8	11886222	11886224
cg26693313	ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11;ZMYND11	ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;Body;Body;Body;Body;Body;Body;Body		chr10	209898	209900
cg19982684			Unclassified_Cell_type_specific	chr3	128684191	128684193
cg02251850	RPTOR;RPTOR	Body;Body	Promoter_Associated_Cell_type_specific	chr17	80877702	80877704
cg21877403	NOL9	Body	Unclassified_Cell_type_specific	chr1	6545403	6545405
cg15704521	GNA12	Body		chr7	2734242	2734244
cg01548841	PKD1L1;C7orf69;C7orf69	Body;5'UTR;Body		chr7	47806458	47806460
cg11895044	TUBGCP2;TUBGCP2;TUBGCP2;TUBGCP2	Body;Body;Body;Body		chr10	133279862	133279864
cg13816228	LRRC8B;LRRC8B	TSS1500;5'UTR		chr1	89557220	89557222
cg03974400	PKP4;PKP4;PKP4;PKP4;PKP4	5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr2	158518271	158518273
cg02402436	LTA;LTA;LTA	TSS200;1stExon;5'UTR	Promoter_Associated	chr6	31572273	31572275
cg17992179	RAPGEF3;RAPGEF3;RAPGEF3	Body;Body;Body		chr12	47750569	47750571
cg15878616	SUMO1P1	Body		chr20	53875669	53875671
cg24446326	RIN2	Body		chr20	19971373	19971375
cg16356013	H2AFY;H2AFY;H2AFY;H2AFY	Body;Body;Body;Body		chr5	135386388	135386390
cg25600606	HIPK3;HIPK3	Body;Body		chr11	33286798	33286800
cg10595862	RAB2A;RAB2A	Body;Body		chr8	60541844	60541846
cg25207828	OGG1;OGG1;OGG1;OGG1;OGG1;OGG1;OGG1;OGG1	TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500	Promoter_Associated	chr3	9749359	9749361
cg04989970	LMNB2	Body	Gene_Associated	chr19	2431166	2431168
cg10207600	AK1	TSS200	Unclassified_Cell_type_specific	chr9	127877892	127877894
cg22274230			Unclassified_Cell_type_specific	chr19	55626660	55626662
cg02023149	RBSN;RBSN	Body;Body		chr3	15094381	15094383
cg12092786			Unclassified_Cell_type_specific	chr22	41936403	41936405
cg18758626			Unclassified_Cell_type_specific	chr20	59013993	59013995
cg13706365	USP6NL;USP6NL	3'UTR;3'UTR		chr10	11462219	11462221
cg08704621	FKTN;FKTN;FKTN	Body;Body;Body		chr9	105608777	105608779
cg10274860	FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1	Body;Body;Body;Body;Body;Body		chr3	71173072	71173074
cg19021885	PRKCSH;PRKCSH;PRKCSH;PRKCSH;PRKCSH	Body;Body;Body;Body;Body		chr19	11438100	11438102
cg22185977	LPCAT1	Body		chr5	1518017	1518019
cg15559940	PCCA;PCCA	Body;Body		chr13	100519510	100519512
cg20750693	PIP5K1C	Body		chr19	3696025	3696027
cg08441633	RNF166	Body		chr16	88698886	88698888
cg26056577	TNFRSF25;PLEKHG5;TNFRSF25;PLEKHG5;PLEKHG5;TNFRSF25;PLEKHG5;TNFRSF25;TNFRSF25;PLEKHG5;TNFRSF25	TSS1500;3'UTR;TSS1500;3'UTR;3'UTR;TSS1500;3'UTR;TSS1500;TSS1500;3'UTR;TSS1500		chr1	6466522	6466524
cg00829747				chr13	86020525	86020527
cg06610422				chr7	140512853	140512855
cg14763331	XXYLT1;XXYLT1	Body;Body		chr3	195175826	195175828
cg08168075	SEC1	Body		chr19	48680893	48680895
cg23917909				chr6	11497332	11497334
cg18576206	SAMM50	3'UTR	Promoter_Associated	chr22	43996503	43996505
cg20773479	CEP72	Body		chr5	619878	619880
cg09888670				chr20	50415806	50415808
cg13559889	CCDC88C	Body	Unclassified_Cell_type_specific	chr14	91411407	91411409
cg05643988	INPP5F	Body		chr10	119815832	119815834
cg06086267	CUX1;CUX1;CUX1;CUX1;CUX1;CUX1;CUX1	Body;Body;Body;Body;Body;Body;Body		chr7	102141146	102141148
cg04027166	ATG13;ATG13;ATG13;ATG13;ATG13;ATG13	3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR		chr11	46672577	46672579
cg10167303	CCDC12;CCDC12;CCDC12	Body;Body;Body		chr3	46959418	46959420
cg05653164				chr13	109706415	109706417
cg06242730	C7orf50;C7orf50;MIR339;C7orf50	Body;Body;TSS1500;Body	Gene_Associated	chr7	1024463	1024465
cg23536830	CRTC3;CRTC3	Body;Body	Unclassified_Cell_type_specific	chr15	90619643	90619645
cg18415791	OSBPL5;OSBPL5;OSBPL5	5'UTR;5'UTR;5'UTR		chr11	3156793	3156795
cg24100671				chr5	10551434	10551436
cg25463483	PRR3;PRR3	3'UTR;3'UTR		chr6	30562766	30562768
cg03032253	TNFAIP8L1;TNFAIP8L1	3'UTR;3'UTR	Unclassified_Cell_type_specific	chr19	4652437	4652439
cg20661985	C20orf3	Body		chr20	24989205	24989207
cg16429499	NLRC3	Body		chr16	3547150	3547152
cg16139572	FPR3	5'UTR		chr19	51799667	51799669
cg03389538	GP9	TSS200		chr3	129060654	129060656
cg18799946	RIN2;RIN2	Body;Body		chr20	19953059	19953061
cg17320537	ORAI2;ORAI2;ORAI2;ORAI2	5'UTR;Body;Body;Body		chr7	102445251	102445253
cg25923345	POP7	Body	Promoter_Associated	chr7	100707045	100707047
cg08921414	SIDT2	Body		chr11	117188880	117188882
cg00492348	MFSD7;MFSD7;MFSD7	Body;Body;Body		chr4	687340	687342
cg14480046			Unclassified_Cell_type_specific	chr12	122006673	122006675
cg19453665	SERPINH1	Body		chr11	75566492	75566494
cg23825480	MORC2	Body	Promoter_Associated_Cell_type_specific	chr22	30940797	30940799
cg01004980	PRKAR2A	Body		chr3	48845635	48845637
cg14499153	RAE1;RAE1;RAE1;RAE1	ExonBnd;ExonBnd;Body;Body		chr20	57374619	57374621
cg17278295	AP3D1;AP3D1	Body;Body		chr19	2131861	2131863
cg07276007	AP2A2	Body		chr11	968999	969001
cg11034672	AREL1	Body		chr14	74684617	74684619
cg21224380	SSH1;SSH1	Body;Body		chr12	108846756	108846758
cg13721185				chr8	42656816	42656818
cg14715482	MARCH6	Body		chr5	10377058	10377060
cg26992566	COX4NB;COX4NB	Body;Body		chr16	85780559	85780561
cg03434907				chr11	128453624	128453626
cg05795313	ZNF641	TSS1500	Promoter_Associated	chr12	48351352	48351354
cg08202836	LRRC33	5'UTR		chr3	196646879	196646881
cg27547947	AKAP6	TSS1500		chr14	32327958	32327960
cg13742400	DOCK10	Body		chr2	224774990	224774992
cg18339493	RPTOR;RPTOR	Body;Body		chr17	80708025	80708027
cg17723958	CCDC92	5'UTR		chr12	123944747	123944749
cg16165949				chr8	124255881	124255883
cg17514665	SERPINF2;SERPINF2;SERPINF2	Body;Body;Body	Unclassified_Cell_type_specific	chr17	1754238	1754240
cg02470008	IQCE;IQCE	Body;Body	Unclassified	chr7	2608708	2608710
cg05226335	CTTN;CTTN	Body;Body		chr11	70407392	70407394
cg16441262	AKAP13;AKAP13;AKAP13	Body;Body;Body		chr15	85628489	85628491
cg20446176	MIR497HG	Body		chr17	7019612	7019614
cg06797389	PATL2	TSS1500		chr15	44677282	44677284
cg13819552				chr9	93037587	93037589
cg11917175	IRF2	5'UTR		chr4	184431204	184431206
cg03482769	RAVER1;ICAM3	TSS1500;Body		chr19	10334916	10334918
cg09451159	MYO5A;MYO5A	Body;Body		chr15	52351387	52351389
cg26313719	PRR5L;PRR5L;PRR5L;PRR5L	Body;Body;Body;Body		chr11	36411016	36411018
cg12597389	NXPH1	Body		chr7	8442604	8442606
cg03636488	EP400	Body	Gene_Associated	chr12	132066581	132066583
cg04329870	CD8B;CD8B;CD8B	Body;3'UTR;Body		chr2	86821623	86821625
cg10858843				chr6	6851213	6851215
cg21470541				chr2	120219319	120219321
cg12614244	AP2A2	Body		chr11	968955	968957
cg13829419	HIVEP2	5'UTR		chr6	142846141	142846143
cg11014468	DCP1A	Body		chr3	53328937	53328939
cg15949000				chr5	15008695	15008697
cg19301114	PARK2;PARK2;PARK2	Body;Body;Body		chr6	161375752	161375754
cg13129675	LYNX1;LYNX1;LYNX1	1stExon;5'UTR;Body		chr8	142769822	142769824
cg08553274	KIAA1530	Body		chr4	1359710	1359712
cg15580458	GRK5	Body		chr10	119395611	119395613
cg09978965			Unclassified_Cell_type_specific	chr17	59277317	59277319
cg02982433	CORO2A;CORO2A	Body;Body		chr9	98150221	98150223
cg18136895	PML;PML;PML;PML;PML;PML;PML;PML;PML	Body;Body;Body;Body;Body;Body;Body;Body;Body		chr15	73998391	73998393
cg05255168	CLCN7;CLCN7	Body;Body		chr16	1468655	1468657
cg12019801	ZNF516	Body		chr18	76402751	76402753
cg17312673	TRAPPC10	Body		chr21	44082926	44082928
cg21883904	BRAT1	TSS1500		chr7	2557078	2557080
cg05454562	WDR46;WDR46	Body;Body	Gene_Associated_Cell_type_specific	chr6	33286669	33286671
cg08454936	ACTN4	Body		chr19	38658748	38658750
cg16353907	IDI1;IDI2-AS1;IDI2-AS1;IDI2-AS1;IDI2-AS1	Body;Body;Body;Body;Body		chr10	1042665	1042667
cg07465999	A2ML1;A2ML1	TSS200;Body		chr12	8844958	8844960
cg19456997	PSORS1C1	5'UTR		chr6	31123151	31123153
cg24969417				chr6	106692239	106692241
cg01928516	SMG6;SRR;SRR	TSS1500;5'UTR;5'UTR		chr17	2305082	2305084
cg24673765	HSPB6;C19orf55	1stExon;TSS1500		chr19	35756967	35756969
cg11537298	B3GNTL1	Body	Unclassified_Cell_type_specific	chr17	83026408	83026410
cg24687894	RGS19;RGS19	Body;Body		chr20	64074580	64074582
cg15748507	PRLHR	Body		chr10	118595114	118595116
cg11824827	ZNF668	Body	Gene_Associated_Cell_type_specific	chr16	31064225	31064227
cg07214164				chr2	104863795	104863797
cg05833106	CTNND2;CTNND2;CTNND2	Body;Body;5'UTR		chr5	11725108	11725110
cg07150293	TLE6;TLE6	5'UTR;Body	Unclassified_Cell_type_specific	chr19	2983746	2983748
cg16729631				chr8	129988014	129988016
cg09569347	HLA-E	3'UTR		chr6	30492770	30492772
cg27516100	DHX16;DHX16	Body;Body		chr6	30656742	30656744
cg22788953	TTYH3	Body		chr7	2639513	2639515
cg13146883				chr2	11858943	11858945
cg07401324	PTPRJ;PTPRJ	Body;Body		chr11	48015299	48015301
cg14333394	TRAF2	Body		chr9	136917904	136917906
cg08166729				chr7	155287539	155287541
cg24163194	MAD1L1;MAD1L1;MAD1L1;MAD1L1;MAD1L1	Body;Body;Body;Body;Body		chr7	2145988	2145990
cg05062263	TNKS	Body	Unclassified_Cell_type_specific	chr8	9720417	9720419
cg24346659	DENND3	Body	Gene_Associated	chr8	141182368	141182370
cg22989958	DOK1	Body		chr2	74555911	74555913
cg11424260	ANAPC7;ANAPC7	Body;Body		chr12	110377925	110377927
cg11624996	SFSWAP;SFSWAP	Body;Body		chr12	131789803	131789805
cg17936488	FAM78A	1stExon	Promoter_Associated	chr9	131276131	131276133
cg16239536	HMHA1	Body	Gene_Associated_Cell_type_specific	chr19	1079617	1079619
cg17065725	FRYL	5'UTR		chr4	48635048	48635050
cg17547822	HOGA1;HOGA1	Body;Body		chr10	97598827	97598829
cg22387076	ZHX2	5'UTR		chr8	122847217	122847219
cg00462849				chr2	12712900	12712902
cg04916662	NINJ2;NINJ2;NINJ2	Body;Body;5'UTR		chr12	586494	586496
cg16117614	C1RL-AS1	Body		chr12	7112902	7112904
cg01304256	FEZ2;FEZ2	Body;Body		chr2	36553561	36553563
cg13869693	IGF1R;IGF1R	Body;Body		chr15	98953489	98953491
cg02106174	CYB561A3;CYB561A3;CYB561A3;CYB561A3	TSS1500;5'UTR;5'UTR;5'UTR		chr11	61357623	61357625
cg16945186				chr12	114666154	114666156
cg26438409	RBFOX3	5'UTR		chr17	79320864	79320866
cg01173441	RNF103;RNF103;RNF103-CHMP3	Body;Body;Body		chr2	86603933	86603935
cg14192764	KRI1	Body		chr19	10555660	10555662
cg06765237	GATAD2A;GATAD2A	Body;Body		chr19	19474957	19474959
cg04441857	FAM107B	Body	Unclassified	chr10	14659815	14659817
cg09303642	NFE2;NFE2	TSS1500;5'UTR		chr12	54297033	54297035
cg10117603	PCCA;PCCA	Body;Body		chr13	100519459	100519461
cg25519315	PTH2R	5'UTR		chr2	208366802	208366804
cg19749984	SLC19A1;SLC19A1	TSS1500;TSS1500		chr21	45543553	45543555
cg17975283				chr10	62744355	62744357
cg12443985	TRAPPC9;TRAPPC9	Body;Body		chr8	140265007	140265009
cg25856530	FAM126B	5'UTR		chr2	201053143	201053145
cg00228496	USP39;USP39;USP39;USP39;USP39;USP39	3'UTR;Body;Body;Body;Body;Body	Gene_Associated	chr2	85648348	85648350
cg21572414			Unclassified	chr5	36692355	36692357
cg00645579	IRF7;IRF7;MUPCDH;IRF7;MUPCDH	TSS1500;TSS1500;3'UTR;TSS1500;3'UTR		chr11	617139	617141
cg04737115	JAK1	5'UTR		chr1	64891235	64891237
cg09354050	UBASH3A;UBASH3A	Body;Body	Unclassified_Cell_type_specific	chr21	42404152	42404154
cg05184446	DAGLB;DAGLB	Body;Body	Gene_Associated_Cell_type_specific	chr7	6423426	6423428
cg20125290	ACLY;ACLY;ACLY;ACLY	TSS1500;TSS1500;TSS1500;TSS1500	Promoter_Associated	chr17	41919681	41919683
cg20306694	BIN2	TSS1500	Promoter_Associated	chr12	51324466	51324468
cg12110801				chr19	5992272	5992274
cg13808210				chr11	47969476	47969478
cg18436544	SPATA13;SPATA13;SPATA13	Body;Body;Body	Promoter_Associated_Cell_type_specific	chr13	24251642	24251644
cg03838931	RPTOR;RPTOR	Body;Body		chr17	80774432	80774434
cg18633990				chr7	152862130	152862132
cg22069247	NMUR1	Body		chr2	231528544	231528546
cg08732805				chr17	81966299	81966301
cg23261343	RUNX2;RUNX2;RUNX2	Body;Body;Body		chr6	45446054	45446056
cg26619790	ST7OT2;ST7;ST7	Body;Body;Body		chr7	117139380	117139382
cg02114922				chr9	91197388	91197390
cg12013451	SOBP	3'UTR	Unclassified	chr6	107655070	107655072
cg27351690	PARVG;PARVG	Body;Body		chr22	44205229	44205231
cg13691901	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body		chr7	1972151	1972153
cg04985318				chr11	66611660	66611662
cg17144383	PTPDC1;PTPDC1;PTPDC1;PTPDC1	Body;Body;Body;Body		chr9	94106465	94106467
cg17692736	SGTA	5'UTR		chr19	2775229	2775231
cg05444742				chr4	15921387	15921389
cg13728275	MSRB1	3'UTR		chr16	1938447	1938449
cg05669853	BEND3;BEND3	1stExon;5'UTR		chr6	107114021	107114023
cg00471371	ZNF516	Body		chr18	76402771	76402773
cg18422094				chr9	91163814	91163816
cg02952945	APP;APP;APP;APP;APP;APP;APP;APP;APP;APP	Body;Body;Body;Body;Body;Body;Body;Body;Body;Body		chr21	25903844	25903846
cg24011073	LPIN1	Body		chr2	11777660	11777662
cg04274288				chr6	27680224	27680226
cg13633270				chr18	57428322	57428324
cg18095675	BDH1;BDH1;BDH1	Body;Body;Body		chr3	197545439	197545441
cg11231069	HDAC4	Body		chr2	239303446	239303448
cg16814392				chr13	109387653	109387655
cg08472633	GALNS	Body		chr16	88840961	88840963
cg17169196	LTA;LTA;LTA	TSS200;1stExon;5'UTR	Promoter_Associated	chr6	31572248	31572250
cg01811918	EPAS1	Body		chr2	46379615	46379617
cg07668739	FANCA;FANCA	Body;Body	Unclassified_Cell_type_specific	chr16	89785692	89785694
cg24420366				chr10	3896348	3896350
cg16492851	C7orf50;MIR339;C7orf50;C7orf50	Body;TSS200;Body;Body		chr7	1023044	1023046
cg05293381	CAPG;CAPG;CAPG;CAPG;CAPG;CAPG	ExonBnd;ExonBnd;ExonBnd;Body;Body;Body		chr2	85401960	85401962
cg26107055	GRAMD3	TSS200		chr5	126359994	126359996
cg07665508				chr14	22541878	22541880
cg05314350	TRIM27	Body		chr6	28906924	28906926
cg04703765	CTBP1;CTBP1	Body;Body		chr4	1224173	1224175
cg16660547	VTI1A	Body		chr10	112814392	112814394
cg10531986	FNBP1	3'UTR		chr9	129890186	129890188
cg19647567	DOK3;DOK3;DOK3	Body;Body;Body		chr5	177508303	177508305
cg20652042	LAG3	Body	Unclassified_Cell_type_specific	chr12	6774659	6774661
cg19772215	TPP1	Body		chr11	6617464	6617466
cg04823169	TRIM14;TRIM14	Body;Body		chr9	98088051	98088053
cg07240396				chr2	216487281	216487283
cg18445680	AAK1	Body		chr2	69584714	69584716
cg09060789	LSP1	Body	Unclassified_Cell_type_specific	chr11	1863757	1863759
cg13844341	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body		chr7	2076732	2076734
cg21061175			Unclassified_Cell_type_specific	chr8	102824567	102824569
cg13589168	DNAJC1	Body		chr10	21932758	21932760
cg17158455	MGAT5	Body	Unclassified_Cell_type_specific	chr2	134287562	134287564
cg22802253	GNA11	3'UTR		chr19	3123193	3123195
cg13059136	SNORA54;NAP1L4	TSS1500;Body		chr11	2965310	2965312
cg19580293	CTBP2;CTBP2;CTBP2;CTBP2	5'UTR;5'UTR;5'UTR;5'UTR		chr10	125101658	125101660
cg02549516				chr6	78811046	78811048
cg23275914	TTLL10;TTLL10	Body;TSS200		chr1	1179533	1179535
cg04868661	PLA2G15	3'UTR		chr16	68259727	68259729
cg02437464	SRPK2;SRPK2;SRPK2	Body;Body;Body		chr7	105131106	105131108
cg10346606	CPA1;CPA1	ExonBnd;Body		chr7	130384547	130384549
cg06230805	AGPAT3;AGPAT3	Body;Body	Gene_Associated_Cell_type_specific	chr21	43971484	43971486
cg16380497				chr8	141120311	141120313
cg16107648	RNF166;RNF166;RNF166	Body;Body;5'UTR	Promoter_Associated	chr16	88700659	88700661
cg01401037				chr3	186122165	186122167
cg09417761	BTBD12	Body		chr16	3595722	3595724
cg16483188	CD2	Body	Promoter_Associated	chr1	116763846	116763848
cg10623913	C12orf75	Body		chr12	105333418	105333420
cg18191092				chr8	63418483	63418485
cg16927606	TMEM149;TMEM149	1stExon;5'UTR	Unclassified_Cell_type_specific	chr19	35742422	35742424
cg10491542	MAF1;KIAA1875	Body;TSS1500		chr8	144106419	144106421
cg26559681	CBLC;CBLC	Body;Body		chr19	44795626	44795628
cg15912040	DRD3;DRD3	Body;Body	Promoter_Associated	chr3	114152961	114152963
cg05818393	KDSR	Body		chr18	63348619	63348621
cg02335176	PHC3;PHC3	Body;Body		chr3	170149310	170149312
cg10363371	AXIN1;AXIN1	Body;Body		chr16	307653	307655
cg10768316	SFT2D1	Body		chr6	166333444	166333446
cg18857340	TBC1D1;TBC1D1;TBC1D1;TBC1D1;TBC1D1	TSS1500;Body;Body;Body;Body		chr4	38118715	38118717
cg00071872	SIAH1;MIR548AE2;MIR5095	5'UTR;Body;Body		chr16	48384035	48384037
cg18542546	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body		chr7	1942697	1942699
cg24691854				chrX	140510996	140510998
cg18536500	MAPKAP1;MAPKAP1;MAPKAP1;MAPKAP1;MAPKAP1;MAPKAP1	Body;Body;Body;Body;5'UTR;5'UTR		chr9	125647555	125647557
cg27495654	SPIDR;SPIDR;SPIDR;SPIDR	Body;Body;Body;Body		chr8	47711388	47711390
cg25753024	SSH3	TSS200	Promoter_Associated	chr11	67303441	67303443
cg10408731	CCT6P1	TSS1500		chr7	65749855	65749857
cg07803924				chr5	178630659	178630661
cg10264529	PCK2;PCK2	TSS1500;TSS1500		chr14	24092854	24092856
cg00680728				chr21	37045348	37045350
cg14904706				chr17	78785262	78785264
cg11572042	PAWR	Body		chr12	79597252	79597254
cg22217449	PCNT	Body	Unclassified_Cell_type_specific	chr21	46425873	46425875
cg01775267	POLE	Body		chr12	132657400	132657402
cg23073140	NSMAF;NSMAF	Body;Body		chr8	58624814	58624816
cg18218829	TRAF3IP1;TRAF3IP1	Body;Body		chr2	238379474	238379476
cg16887264	POU4F2	Body		chr4	146640622	146640624
cg10111648	NUP214	Body		chr9	131190119	131190121
cg10338475	SMIM15;CTC-436P18.1	TSS1500;Body		chr5	61163066	61163068
cg21583068	C7orf50;C7orf50;C7orf50	Body;Body;Body		chr7	1042755	1042757
cg21348486				chr2	225112991	225112993
cg16188466	DNAH9	Body		chr17	11608726	11608728
cg18584272	EIF3B;EIF3B	Body;Body		chr7	2362890	2362892
cg09718251	WDR37	Body		chr10	1086789	1086791
cg00448292	ITPR1;ITPR1;ITPR1	Body;Body;Body	Unclassified	chr3	4822274	4822276
cg25790531				chr6	113434513	113434515
cg24298409	RASSF1;ZMYND10;RASSF1	TSS1500;Body;TSS1500		chr3	50341814	50341816
cg23971182				chr8	106046144	106046146
cg11311099	DOT1L	Body		chr19	2187336	2187338
cg26171784	ARHGAP18	Body		chr6	129697081	129697083
cg06352352	C16orf70	3'UTR		chr16	67147562	67147564
cg25801622	PITPNM2	TSS1500		chr12	123111865	123111867
cg19592114	PIP4K2A	Body		chr10	22539762	22539764
cg17192454	LBX2;LBX2	1stExon;Body	Unclassified_Cell_type_specific	chr2	74499523	74499525
cg26265624	C20orf197;C20orf197;C20orf197;C20orf197	TSS1500;TSS1500;TSS1500;TSS1500		chr20	60054883	60054885
cg12980561	PDE6A	Body		chr5	149940407	149940409
cg04392554	TTC38	Body		chr22	46289574	46289576
cg21180201	MAD1L1;MAD1L1;MAD1L1	Body;Body;Body	Unclassified_Cell_type_specific	chr7	1943867	1943869
cg02512168	ZNF205;MGC3771;ZNF205;MGC3771	5'UTR;Body;5'UTR;Body		chr16	3113226	3113228
cg14058851	JARID2	Body		chr6	15505717	15505719
cg18851887	HSPBAP1	Body		chr3	122768852	122768854
cg05642789	MIB2;MIB2;MIB2;MIB2;MIB2;MIB2	Body;Body;Body;Body;Body;Body		chr1	1629101	1629103
cg06784305				chr5	72378839	72378841
cg17471253	FARP1;FARP1	Body;Body		chr13	98428944	98428946
cg16203210	CCND3;CCND3;CCND3;CCND3	Body;Body;5'UTR;Body	Gene_Associated	chr6	41937287	41937289
cg11217679	TPD52;TPD52;TPD52;TPD52;TPD52;TPD52;TPD52	Body;Body;Body;Body;Body;Body;Body		chr8	80158596	80158598
cg22176018				chr2	241925459	241925461
cg19765834	FGD2	TSS1500		chr6	37004226	37004228
cg19307851	ZXDC;ZXDC;ZXDC	Body;Body;Body		chr3	126468247	126468249
cg26096061				chr5	180815829	180815831
cg07230522				chr14	102738248	102738250
cg07870177	METTL8	5'UTR		chr2	171412185	171412187
cg04556126	ZIC4;ZIC4;ZIC4;ZIC4;ZIC4	3'UTR;Body;3'UTR;Body;3'UTR		chr3	147388773	147388775
cg12311705	ASAP2;ASAP2	Body;Body		chr2	9373311	9373313
cg14506192	DIABLO;DIABLO;DIABLO;DIABLO;DIABLO;DIABLO	Body;5'UTR;5'UTR;Body;1stExon;1stExon		chr12	122227440	122227442
cg13962111				chr17	27247581	27247583
cg20613972	PLAC8;PLAC8	TSS1500;TSS1500		chr4	83116004	83116006
cg15922246	FASTK;TMUB1;TMUB1;FASTK	TSS1500;Body;Body;TSS1500		chr7	151081715	151081717
cg08179564	TM7SF4	Body		chr8	104353374	104353376
cg16464494	SPTLC2	Body		chr14	77565744	77565746
cg24527044	C7orf26;C7orf26	Body;Body		chr7	6591599	6591601
cg21306973				chrX	140502720	140502722
cg22579736				chr9	106284813	106284815
cg21448870	RYBP	Body		chr3	72443247	72443249
cg23352030	PRIC285;PRIC285	Body;1stExon		chr20	63567115	63567117
cg08545593	CTSZ	TSS1500	Promoter_Associated	chr20	59007800	59007802
cg12221474	PPP1R16B;PPP1R16B	TSS1500;TSS1500		chr20	38805292	38805294
cg12823039	CEACAM1;CEACAM1;CEACAM1;CEACAM1;CEACAM1;CEACAM1;LIPE-AS1;LIPE-AS1	Body;Body;Body;Body;Body;Body;Body;Body		chr19	42522960	42522962
cg01136606				chr8	140525801	140525803
cg04792530				chr20	61193508	61193510
cg10744590				chr17	40624018	40624020
cg12073251	EIF2C2;EIF2C2	Body;Body		chr8	140558552	140558554
cg11041857	SCPEP1;SCPEP1	ExonBnd;Body		chr17	56985452	56985454
cg01702217	LPCAT1	Body	Unclassified_Cell_type_specific	chr5	1499049	1499051
cg09523782	WIPI2;WIPI2;WIPI2;WIPI2;WIPI2	3'UTR;3'UTR;3'UTR;3'UTR;3'UTR	Gene_Associated	chr7	5232432	5232434
cg07369741				chr12	10101335	10101337
cg01802136	VPS18	Body		chr15	40898952	40898954
cg22180675	MIR486-1;ANK1;ANK1;ANK1;ANK1;ANK1;ANK1;ANK1;ANK1	TSS1500;3'UTR;3'UTR;Body;Body;Body;Body;Body;Body		chr8	41661200	41661202
cg23715213	MKLN1;MKLN1;MKLN1;MKLN1	ExonBnd;ExonBnd;Body;Body		chr7	131443714	131443716
cg24221044	LOC728175	TSS200		chr4	184354005	184354007
cg10080832				chr10	62916068	62916070
cg05661533	LPCAT1	Body	Unclassified	chr5	1494927	1494929
cg19535872				chr3	183483215	183483217
cg14511698	SIX6	Body		chr14	60510179	60510181
cg07799277			Unclassified	chr5	99032738	99032740
cg15004391				chr10	49362826	49362828
cg04079215				chr1	94629664	94629666
cg03482521	ZHX2	5'UTR		chr8	122857186	122857188
cg11939550	EPS15L1;EPS15L1;EPS15L1;EPS15L1;EPS15L1;EPS15L1	Body;Body;Body;Body;Body;Body	Unclassified_Cell_type_specific	chr19	16450385	16450387
cg10058508	SLC45A4	Body		chr8	141233142	141233144
